"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2025-07-31 18:34:02","1399962549","DOGEUSDC","Stop-Market","SELL","0","10DOGE","2025-07-31 18:35:01","0DOGE","0","0USDC","CANCELED"
"2025-07-31 18:32:02","1399957896","DOGEUSDC","Stop-Market","SELL","0","10DOGE","2025-07-31 18:34:03","0DOGE","0","0USDC","CANCELED"
"2025-07-31 18:31:02","1399954981","DOGEUSDC","Stop-Market","SELL","0","10DOGE","2025-07-31 18:32:03","0DOGE","0","0USDC","CANCELED"
"2025-07-31 18:30:04","1399952560","DOGEUSDC","Stop-Market","SELL","0","10DOGE","2025-07-31 18:31:03","0DOGE","0","0USDC","CANCELED"
"2025-07-31 18:29:04","1399950404","DOGEUSDC","Stop-Market","SELL","0","10DOGE","2025-07-31 18:30:05","0DOGE","0","0USDC","CANCELED"
"2025-07-31 18:28:02","1399947701","DOGEUSDC","Stop-Market","SELL","0","5DOGE","2025-07-31 18:29:05","0DOGE","0","0USDC","CANCELED"
"2025-07-31 18:27:01","1399945418","DOGEUSDC","Stop-Market","SELL","0","5DOGE","2025-07-31 18:28:03","0DOGE","0","0USDC","CANCELED"
"2025-07-31 18:13:01","1399889103","DOGEUSDC","Stop-Market","BUY","0","5DOGE","2025-07-31 18:13:16","5DOGE","0.21475","1.07375USDC","FILLED"
"2025-07-31 18:12:01","1399883513","DOGEUSDC","Stop-Market","BUY","0","5DOGE","2025-07-31 18:12:09","5DOGE","0.21429","1.07145USDC","FILLED"
"2025-07-31 18:10:01","1399870682","DOGEUSDC","Stop-Market","BUY","0","5DOGE","2025-07-31 18:21:44","5DOGE","0.21545","1.07725USDC","FILLED"
"2025-07-31 18:05:02","1399844686","DOGEUSDC","Stop-Market","BUY","0","5DOGE","2025-07-31 18:10:02","0DOGE","0","0USDC","CANCELED"
"2025-07-31 18:00:04","1399821475","DOGEUSDC","Stop-Market","BUY","0","5DOGE","2025-07-31 18:05:02","0DOGE","0","0USDC","CANCELED"
"2025-07-31 17:55:01","1399801832","DOGEUSDC","Stop-Market","BUY","0","5DOGE","2025-07-31 17:56:28","5DOGE","0.21637","1.08185USDC","FILLED"
"2025-07-31 17:50:01","1399775832","DOGEUSDC","Stop-Market","BUY","0","5DOGE","2025-07-31 17:55:02","0DOGE","0","0USDC","CANCELED"
"2025-07-31 17:45:04","1399754450","DOGEUSDC","Stop-Market","BUY","0","5DOGE","2025-07-31 17:45:42","5DOGE","0.21766","1.0883USDC","FILLED"
"2025-07-31 17:40:00","1399738388","DOGEUSDC","Stop-Market","BUY","0","5DOGE","2025-07-31 17:45:04","0DOGE","0","0USDC","CANCELED"
"2025-07-31 17:23:01","2279746925","SOLUSDC","Stop-Market","BUY","0","0.03SOL","2025-07-31 17:23:03","0.03SOL","177.78","5.3334USDC","FILLED"
"2025-07-31 17:21:02","1097361021","ADAUSDC","Stop-Market","BUY","0","6.8ADA","2025-07-31 17:39:00","0ADA","0","0USDC","CANCELED"
"2025-07-31 17:18:01","1097351782","ADAUSDC","Stop-Market","BUY","0","6.8ADA","2025-07-31 17:21:02","0ADA","0","0USDC","CANCELED"
"2025-07-31 17:15:01","1097341274","ADAUSDC","Stop-Market","BUY","0","6.8ADA","2025-07-31 17:17:08","6.8ADA","0.7648","5.20064USDC","FILLED"
"2025-07-31 16:49:01","1399528861","DOGEUSDC","Stop-Market","BUY","0","5DOGE","2025-07-31 16:50:00","5DOGE","0.21968","1.0984USDC","FILLED"
"2025-07-31 16:41:02","2279512208","SOLUSDC","Stop-Market","SELL","0","0.028SOL","2025-07-31 16:41:08","0.028SOL","179.35","5.0218USDC","FILLED"
"2025-07-31 16:40:03","2279503425","SOLUSDC","Stop-Market","SELL","0","0.028SOL","2025-07-31 16:41:03","0SOL","0","0USDC","CANCELED"
"2025-07-31 16:39:03","2279496046","SOLUSDC","Stop-Market","SELL","0","0.028SOL","2025-07-31 16:39:03","0.028SOL","179.33","5.02124USDC","FILLED"
"2025-07-31 16:38:03","2279486891","SOLUSDC","Stop-Market","SELL","0","0.042SOL","2025-07-31 16:39:01","0.042SOL","179.33","7.53186USDC","FILLED"
"2025-07-31 16:37:02","2279479061","SOLUSDC","Stop-Market","SELL","0","0.028SOL","2025-07-31 16:38:03","0SOL","0","0USDC","CANCELED"
"2025-07-31 16:36:03","2279472458","SOLUSDC","Stop-Market","SELL","0","0.028SOL","2025-07-31 16:37:03","0SOL","0","0USDC","CANCELED"
"2025-07-31 13:11:00","1058029160","USDCUSDT","Limit","SELL","1","4625USDC","2025-07-31 13:11:00","4625USDC","1","4625USDT","FILLED"
"2025-07-31 13:10:28","1058028784","USDCUSDT","Limit","SELL","1.0001","4625USDC","2025-07-31 13:10:54","0USDC","0","0USDT","CANCELED"
"2025-07-31 13:10:01","1398634719","DOGEUSDC","Stop-Market","BUY","0","280DOGE","2025-07-31 13:10:16","0DOGE","0","0USDC","CANCELED"
"2025-07-31 13:09:02","2278236158","SOLUSDC","Stop-Market","BUY","0","0.236SOL","2025-07-31 13:09:46","0SOL","0","0USDC","CANCELED"
"2025-07-31 13:09:01","1398630941","DOGEUSDC","Stop-Market","BUY","0","209DOGE","2025-07-31 13:09:46","0DOGE","0","0USDC","CANCELED"
"2025-07-31 13:08:01","2278230718","SOLUSDC","Stop-Market","BUY","0","0.198SOL","2025-07-31 13:09:03","0SOL","0","0USDC","CANCELED"
"2025-07-31 13:00:04","1398606147","DOGEUSDC","Stop-Market","BUY","0","454DOGE","2025-07-31 13:09:46","0DOGE","0","0USDC","CANCELED"
"2025-07-31 13:00:02","1096624995","ADAUSDC","Stop-Market","BUY","0","125.7ADA","2025-07-31 13:09:46","0ADA","0","0USDC","CANCELED"
"2025-07-31 13:00:01","1096624914","ADAUSDC","Stop-Market","BUY","0","19.9ADA","2025-07-31 13:05:01","0ADA","0","0USDC","CANCELED"
